188	563
265	545
561	550
1409	598
1611	541
1626	555
1734	541
1830	568
2363	567
2794	586
3184	530
3186	549
3423	548
4488	591
4638	585
4753	583
5107	542
5727	595
5945	597
6736	551
7070	575
7402	528
7620	560
7634	597
8367	600
9280	543
9582	542
9816	579
10032	531
10564	543
10791	545
10977	565
10981	528
11005	534
11203	569
11310	542
11325	541
11731	574
12254	587
12649	546
12912	569
13076	532
13269	595
13334	587
13407	540
13590	540
13996	598
14254	586
14308	565
14601	590
14628	566
14775	568
14833	568
14936	596
14976	534
15065	564
15538	570
15799	558
15914	543
15966	569
16388	582
17062	588
17369	534
17949	537
18176	555
18576	577
18702	536
18708	589
18914	570
18960	539
19226	586
19415	554
19431	581
19544	587
21334	590
21377	574
21619	578
22194	540
22287	586
22432	552
23086	549
23129	537
24280	542
24575	575
24704	536
24726	582
24754	529
25209	540
25365	585
26043	563
26109	581
26503	570
26602	559
26907	569
27182	560
27334	596
27467	587
27660	580
28172	554
28232	578
28436	571
28531	547
28581	571
28786	549
29208	574
29457	581
29478	544
29892	585
30071	529
30494	592
30502	531
30606	534
30646	543
31311	569
31318	542
31572	536
31625	560
31985	534
32361	573
32978	564
33364	557
34624	554
34935	559
35697	554
35881	581
35960	585
35972	534
36003	543
37153	532
37249	600
37414	528
37617	569
38129	578
38167	577
38226	576
38448	558
38499	577
38647	576
38941	553
38949	547
39604	537
39874	539
39953	580
40154	593
40683	555
40836	549
40842	538
40927	557
40983	555
41337	593
41371	577
41414	583
41523	531
41695	565
42187	599
42301	533
42362	588
42510	571
42786	593
42921	538
43148	535
43224	569
43422	566
44057	558
44230	570
44769	600
45005	577
45051	580
45349	579
45647	579
46020	584
46086	561
46103	529
46389	564
46440	556
46679	547
46951	559
47226	599
47868	557
48078	545
48181	568
48281	543
48378	555
48630	564
48978	578
49160	554
49163	562
49211	537
49229	540
49399	587
49833	536
50114	568
51745	575
51746	530
52021	594
52055	577
52100	567
52948	591
53389	577
53994	587
54256	552
54400	544
54514	565
54614	553
54748	530
55199	595
55272	594
55309	534
55764	547
55841	529
56069	540
56108	596
56977	541
56985	579
57436	555
57608	542
58248	528
58628	563
59936	546
60157	547
60209	595
60241	575
60303	546
60542	532
60668	577
60722	558
60973	544
61134	538
61189	536
61841	534
62054	528
62108	552
62512	552
62710	570
62759	545
63193	533
63244	558
63579	533
64627	583
65003	546
65076	552
65825	539
66120	529
67209	546
67484	561
67675	528
67944	576
68093	544
68267	558
68769	568
68991	533
69865	549
70071	552
70137	536
70244	543
71039	581
71402	567
71540	586
71690	536
72255	600
72259	538
72585	587
72796	531
73216	578
73526	543
73560	529
73740	540
73997	538
74188	595
74282	559
74300	591
74439	560
74496	542
75327	550
75552	532
75624	547
75862	587
76344	568
76468	575
76570	551
77333	557
77383	581
77584	563
77662	600
78091	582
78504	560
78669	532
78703	547
79103	597
79160	562
79317	530
79331	562
79468	562
79493	597
79585	536
79900	591
79911	538
79940	529
80124	560
80178	563
80286	535
80356	559
80751	552
81120	534
81151	592
81287	542
81931	537
81981	532
82059	541
82368	594
82458	538
83071	537
83312	583
83500	562
83808	554
84705	538
85071	599
85276	595
85582	560
85701	549
86767	585
86987	551
87185	591
87610	562
87613	594
87654	582
87674	562
87681	585
87872	581
88941	555
88944	577
89047	579
89207	592
89940	599
90021	563
90284	551
90664	597
90699	546
91296	593
92015	529
92387	559
92540	548
92616	557
93188	565
93270	560
93419	570
93753	563
94462	584
94503	531
94726	533
94915	563
94981	559
95714	566
95905	600
95961	596
95997	543
96262	553
96397	565
96836	598
97090	532
97474	581
97526	528
97721	580
97788	531
98134	588
98347	553
98627	572
98977	547
99239	593
99546	540
99875	575
100228	563
100766	597
100936	532
101022	541
101395	538
101724	533
101793	588
102792	548
102929	528
102982	566
103703	548
103738	528
104137	552
105019	550
105029	557
105056	555
105187	543
105324	556
106442	570
106475	555
106593	571
108007	590
108046	552
108133	579
108176	548
108255	539
108397	598
108673	582
108684	578
109919	536
109987	541
110062	555
110081	596
110493	564
110710	567
111070	531
111211	566
111273	563
111966	557
112094	535
112166	587
112546	580
112684	597
113029	564
113137	592
113201	530
113499	598
114111	585
114393	533
114610	547
114882	530
114904	540
115010	564
115087	539
115422	587
115951	567
116058	538
116642	536
116695	593
116756	556
116771	574
117032	584
117270	529
117347	565
117728	535
117747	550
117878	548
117934	600
117971	566
118260	546
118346	546
118431	550
118576	594
118838	543
119882	575
119936	528
119979	540
120135	574
120315	543
120503	556
120720	555
121157	589
121390	581
122175	582
122509	589
122558	582
122563	594
123190	538
123402	542
123910	557
124025	565
124123	560
124426	596
124476	560
124742	549
124942	593
